都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,lat,lng,title,状況
262013,,京都府,福知山市,防火水槽,,,35.27968613,135.1876155,下六防火水槽62,埋設
262013,,京都府,福知山市,防火水槽,,,35.27052426,135.1764386,下六防火水槽64,埋設
262013,,京都府,福知山市,防火水槽,,,35.27808054,135.1664266,下六防火水槽65,埋設
262013,,京都府,福知山市,防火水槽,,,35.27650848,135.1687806,下六防火水槽66,埋設
262013,,京都府,福知山市,防火水槽,,,35.2726467,135.1853105,下六防火水槽67,埋設
262013,,京都府,福知山市,防火水槽,,,35.27122783,135.1860124,下六防火水槽68,埋設
262013,,京都府,福知山市,防火水槽,,,35.27210694,135.1841367,下六防火水槽69,埋設
262013,,京都府,福知山市,防火水槽,,,35.27254626,135.1855473,下六防火水槽70,埋設
262013,,京都府,福知山市,防火水槽,,,35.27187602,135.1540392,下六防火水槽2,無蓋
262013,,京都府,福知山市,防火水槽,,,35.27183918,135.1558377,下六防火水槽3,無蓋
262013,,京都府,福知山市,防火水槽,,,35.27358322,135.1629894,下六防火水槽5,無蓋
262013,,京都府,福知山市,防火水槽,,,35.27577439,135.1674302,下六防火水槽7,無蓋
262013,,京都府,福知山市,防火水槽,,,35.27166088,135.1721568,下六防火水槽9,無蓋
262013,,京都府,福知山市,防火水槽,,,35.27121866,135.1633477,下六防火水槽19,無蓋
262013,,京都府,福知山市,防火水槽,,,35.27260444,135.1653551,下六防火水槽21,有蓋
262013,,京都府,福知山市,防火水槽,,,35.27581838,135.1876375,下六防火水槽29,無蓋
262013,,京都府,福知山市,防火水槽,,,35.27944975,135.15599,下六防火水槽30,無蓋
262013,,京都府,福知山市,防火水槽,,,35.27849891,135.1906383,下六防火水槽63,無蓋
262013,,京都府,福知山市,防火水槽,,,35.27409227,135.1659036,下六防火水槽6,有蓋
262013,,京都府,福知山市,防火水槽,,,35.45875372,135.1450325,河守上防火水槽37,埋設
262013,,京都府,福知山市,防火水槽,,,35.40461211,135.1501498,河守上防火水槽3,埋設
262013,,京都府,福知山市,防火水槽,,,35.40901182,135.1495938,河守上防火水槽7,埋設
262013,,京都府,福知山市,防火水槽,,,35.40975264,135.1516773,河守上防火水槽9,埋設
262013,,京都府,福知山市,防火水槽,,,35.41218844,135.1521252,河守上防火水槽11,埋設
262013,,京都府,福知山市,防火水槽,,,35.41328585,135.1198983,河守上防火水槽16,埋設
